epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26517,1.00383,2.79162,1.44361,0.00333,1,0.12303,0.09001,0.50539,3.02768,1.03614,0.0001,0.0001,0.0001
2,1.95867,0.79964,2.35949,1.29566,0.00333,1,0.82701,0.5507,0.73424,2.82182,1.22097,0.000215644,0.000215644,0.000215644
3,2.65377,0.75352,1.47117,1.22687,0.00333,1,0.995,0.58377,0.81164,2.86534,1.25038,0.000326536,0.000326536,0.000326536
4,3.3266,0.73422,1.30711,1.18938,0.00675,1,0.91318,0.66732,0.64692,2.6462,1.0759,0.000432676,0.000432676,0.000432676
5,4.01166,0.70354,1.12482,1.15479,0.99646,1,0.995,0.75304,0.74723,2.27498,1.16112,0.000534064,0.000534064,0.000534064
6,4.69458,0.76554,1.15437,1.23108,0.84676,0.9,0.97833,0.73737,0.72117,2.22192,1.26591,0.0006307,0.0006307,0.0006307
7,5.36865,0.78593,1.2212,1.25535,1,0.68624,0.995,0.77889,0.75043,2.35653,1.30806,0.000722584,0.000722584,0.000722584
8,6.06252,0.7087,1.0761,1.17411,0.8445,0.7,0.86713,0.68836,0.84135,2.10429,1.33862,0.000809716,0.000809716,0.000809716
9,6.72884,0.78575,1.12202,1.22082,0.7581,0.9,0.8976,0.59842,0.87942,2.33761,1.39223,0.000892096,0.000892096,0.000892096
10,7.39118,0.80751,1.13996,1.25479,0.61767,1,0.80149,0.45152,1.07853,2.58012,1.61839,0.000969724,0.000969724,0.000969724
11,8.05437,0.75277,1.06823,1.18589,0.66804,0.9,0.85251,0.54251,0.97185,2.26667,1.47488,0.0010426,0.0010426,0.0010426
12,8.71352,0.7867,1.07243,1.24421,0.64585,0.6,0.65121,0.40407,1.1093,2.39067,1.67745,0.00111072,0.00111072,0.00111072
13,9.37703,0.79071,1.12843,1.23434,0.13346,0.4,0.11806,0.06824,1.03786,2.95691,1.37802,0.0011741,0.0011741,0.0011741
14,10.0415,0.76311,0.97792,1.19017,0.50369,0.4,0.41055,0.32064,1.15944,2.69148,1.58259,0.00123272,0.00123272,0.00123272
15,10.6972,0.75873,0.97211,1.20852,0.72659,0.6,0.65137,0.4371,1.24073,2.47288,1.62903,0.00128658,0.00128658,0.00128658
16,11.3647,0.78153,0.98026,1.22811,0.7001,0.70036,0.7501,0.38658,1.30397,2.13861,1.68711,0.0013357,0.0013357,0.0013357
17,12.0254,0.66989,0.91328,1.12914,0.99183,0.7,0.95192,0.54119,1.22261,1.90869,1.68459,0.0013664,0.0013664,0.0013664
18,12.6895,0.74131,0.9254,1.17399,0.97453,0.9,0.97192,0.61503,1.15361,1.4525,1.91022,0.0013268,0.0013268,0.0013268
19,13.3491,0.75461,0.92011,1.16213,0.99352,1,0.995,0.69612,1.01175,1.27328,1.79571,0.0012872,0.0012872,0.0012872
20,14.0177,0.74781,0.87923,1.18866,0.99572,0.9,0.93071,0.72338,0.94605,1.01138,1.6251,0.0012476,0.0012476,0.0012476
21,14.678,0.65219,0.84985,1.12254,1,0.89696,0.95382,0.6728,1.00077,0.96837,1.70482,0.001208,0.001208,0.001208
22,15.341,0.68526,0.84255,1.15856,0.9794,1,0.995,0.63499,1.07714,1.04586,1.86227,0.0011684,0.0011684,0.0011684
23,15.9986,0.71484,0.87255,1.18664,0.95863,0.9,0.97833,0.69599,0.9702,1.03594,1.66631,0.0011288,0.0011288,0.0011288
24,16.6676,0.70299,0.87524,1.17046,0.98408,1,0.995,0.72672,0.88521,0.84796,1.53803,0.0010892,0.0010892,0.0010892
25,17.321,0.69206,0.83941,1.14429,0.98963,1,0.995,0.69951,0.90069,0.94567,1.51063,0.0010496,0.0010496,0.0010496
26,17.9846,0.68645,0.78899,1.14392,0.75696,1,0.88556,0.50409,0.95892,1.3344,1.7379,0.00101,0.00101,0.00101
27,18.6554,0.7107,0.80455,1.11333,0.66025,0.97304,0.87083,0.47828,0.93754,1.36662,1.7486,0.0009704,0.0009704,0.0009704
28,19.3249,0.68683,0.77184,1.13621,0.82949,1,0.96833,0.61371,1.01182,0.91635,1.70407,0.0009308,0.0009308,0.0009308
29,19.9824,0.68717,0.7573,1.1522,0.97854,0.9,0.97833,0.63669,1.0843,0.93845,1.70551,0.0008912,0.0008912,0.0008912
30,20.6524,0.69856,0.8246,1.19964,0.81584,1,0.95833,0.66847,1.01733,0.95396,1.53956,0.0008516,0.0008516,0.0008516
31,21.3149,0.61943,0.69364,1.09106,0.83226,1,0.95833,0.71248,0.93996,0.84994,1.46508,0.000812,0.000812,0.000812
32,21.9881,0.60662,0.68699,1.08012,0.90312,1,0.97682,0.7233,0.84577,0.87717,1.41786,0.0007724,0.0007724,0.0007724
33,22.6525,0.63141,0.70455,1.11222,0.76695,0.98815,0.95374,0.70988,0.92068,0.81423,1.51549,0.0007328,0.0007328,0.0007328
34,23.3211,0.71,0.77137,1.15228,0.9939,1,0.995,0.76249,0.95189,0.71109,1.58213,0.0006932,0.0006932,0.0006932
35,23.983,0.61732,0.66444,1.11611,0.99258,1,0.995,0.72996,0.96526,0.73386,1.5187,0.0006536,0.0006536,0.0006536
36,24.6525,0.62196,0.67563,1.07187,0.99158,1,0.995,0.75209,0.82976,0.69561,1.36211,0.000614,0.000614,0.000614
37,25.3212,0.57307,0.63309,1.04883,0.9906,1,0.995,0.79174,0.78464,0.69633,1.33676,0.0005744,0.0005744,0.0005744
38,26.0163,0.55923,0.60664,1.05211,0.99748,1,0.995,0.81557,0.73181,0.65738,1.25266,0.0005348,0.0005348,0.0005348
39,26.6861,0.56421,0.63632,1.11488,0.8968,1,0.98591,0.79561,0.74119,0.66082,1.21306,0.0004952,0.0004952,0.0004952
40,27.3592,0.5793,0.62474,1.08768,0.99051,0.9,0.98591,0.78143,0.77525,0.76566,1.18967,0.0004556,0.0004556,0.0004556
41,28.3828,0.42692,0.69627,0.98687,1,0.99174,0.995,0.76593,0.74867,0.85753,1.17129,0.000416,0.000416,0.000416
42,29.0605,0.42822,0.69139,1.0233,0.99434,0.9,0.98591,0.79594,0.78223,0.84734,1.18896,0.0003764,0.0003764,0.0003764
43,29.7278,0.41001,0.67226,0.95694,1,0.99239,0.995,0.76763,0.80696,0.78341,1.26158,0.0003368,0.0003368,0.0003368
44,30.398,0.41929,0.65596,0.99829,1,0.99426,0.995,0.81879,0.68929,0.70356,1.15393,0.0002972,0.0002972,0.0002972
45,31.0616,0.411,0.63826,0.95737,1,0.99762,0.995,0.80669,0.68429,0.65826,1.14499,0.0002576,0.0002576,0.0002576
46,31.7236,0.385,0.60504,0.95422,0.99606,1,0.995,0.82321,0.63624,0.61373,1.11744,0.000218,0.000218,0.000218
47,32.3911,0.36452,0.60098,0.93684,0.99499,1,0.995,0.81993,0.62622,0.62021,1.10896,0.0001784,0.0001784,0.0001784
48,33.0601,0.383,0.5886,1.00195,0.99632,1,0.995,0.84396,0.64408,0.6021,1.10444,0.0001388,0.0001388,0.0001388
49,33.7415,0.38249,0.58127,0.96134,0.99715,1,0.995,0.85283,0.63573,0.6001,1.0918,9.92e-05,9.92e-05,9.92e-05
50,34.414,0.3642,0.5458,0.94252,0.99825,1,0.995,0.85713,0.61767,0.59319,1.07794,5.96e-05,5.96e-05,5.96e-05
